han,hex,dec
䔧,4527,17703
䔮,452E,17710
䔳,4533,17715
䔶,4536,17718
䔻,453B,17723
䔽,453D,17725
䔿,453F,17727
䕃,4543,17731
䕑,4551,17745
䕒,4552,17746
䕕,4555,17749
䕘,4558,17752
䕜,455C,17756
䕡,4561,17761
䕢,4562,17762
䕪,456A,17770
䕭,456D,17773
䕷,4577,17783
䕸,4578,17784
䖅,4585,17797
䖦,45A6,17830
䖳,45B3,17843
䗚,45DA,17882
䗩,45E9,17897
䗪,45EA,17898
䘃,4603,17923
䘆,4606,17926
䘏,460F,17935
䘕,4615,17941
䘗,4617,17943
䙛,465B,18011
䙺,467A,18042
䚀,4680,18048
䚡,46A1,18081
䚮,46AE,18094
䚻,46BB,18107
䛏,46CF,18127
䛐,46D0,18128
䛵,46F5,18165
䛷,46F7,18167
䜓,4713,18195
䜘,4718,18200
䜶,4736,18230
䝄,4744,18244
䝎,474E,18254
䝏,474F,18255
䝼,477C,18300
䞘,4798,18328
䞦,47A6,18342
䟕,47D5,18389
䟭,47ED,18413
䟴,47F4,18420
䠀,4800,18432
䠋,480B,18443
䠷,4837,18487
䡝,485D,18525
䡱,4871,18545
䢛,489B,18587
䢭,48AD,18605
䢮,48AE,18606
䣐,48D0,18640
䣝,48DD,18653
䣭,48ED,18669
䣳,48F3,18675
䣺,48FA,18682
䤆,4906,18694
䤑,4911,18705
䤞,491E,18718
䤥,4925,18725
䤪,492A,18730
䤭,492D,18733
䤯,492F,18735
䤰,4930,18736
䤵,4935,18741
䤼,493C,18748
䤾,493E,18750
䥅,4945,18757
䥑,4951,18769
䥓,4953,18771
䥥,4965,18789
䥪,496A,18794
䥲,4972,18802
䦉,4989,18825
䦡,49A1,18849
䦧,49A7,18855
䧟,49DF,18911
䧥,49E5,18917
䧧,49E7,18919
䨏,4A0F,18959
䨝,4A1D,18973
䨤,4A24,18980
䨵,4A35,18997
䪖,4A96,19094
䪤,4AA4,19108
䪴,4AB4,19124
䪸,4AB8,19128
䫑,4AD1,19153
䫤,4AE4,19172
䫿,4AFF,19199
䬐,4B10,19216
䬙,4B19,19225
䬠,4B20,19232
䬬,4B2C,19244
䬷,4B37,19255
䭯,4B6F,19311
䭰,4B70,19312
䭲,4B72,19314
䭻,4B7B,19323
䭾,4B7E,19326
䮎,4B8E,19342
䮐,4B90,19344
䮓,4B93,19347
䮖,4B96,19350
䮗,4B97,19351
䮝,4B9D,19357
䮽,4BBD,19389
䮾,4BBE,19390
䯀,4BC0,19392
䰄,4C04,19460
䰇,4C07,19463
䰎,4C0E,19470
䰲,4C32,19506
䰻,4C3B,19515
䰾,4C3E,19518
䱀,4C40,19520
䱇,4C47,19527
䱗,4C57,19543
䱛,4C5B,19547
䱭,4C6D,19565
䱷,4C77,19575
䱻,4C7B,19579
䱽,4C7D,19581
䲁,4C81,19585
䲅,4C85,19589
䲮,4CAE,19630
䲰,4CB0,19632
䲷,4CB7,19639
䳍,4CCD,19661
䳡,4CE1,19681
䳢,4CE2,19682
䳭,4CED,19693
䴇,4D07,19719
䴉,4D09,19721
䴐,4D10,19728
䴴,4D34,19764
䵶,4D76,19830
䵷,4D77,19831
䶉,4D89,19849
䶑,4D91,19857
䶜,4D9C,19868
丄,4E04,19972
业,4E1A,19994
东,4E1C,19996
両,4E21,20001
两,4E24,20004
丨,4E28,20008
个,4E2A,20010
丬,4E2C,20012
丯,4E2F,20015
丶,4E36,20022
丷,4E37,20023
丽,4E3D,20029
丿,4E3F,20031
义,4E49,20041
乚,4E5A,20058
乛,4E5B,20059
乪,4E6A,20074
乸,4E78,20088
亀,4E80,20096
亁,4E81,20097
亅,4E85,20101
亇,4E87,20103
争,4E89,20105
亘,4E98,20120
亚,4E9A,20122
亠,4EA0,20128
亣,4EA3,20131
亷,4EB7,20151
亻,4EBB,20155
亼,4EBC,20156
亿,4EBF,20159
从,4ECE,20174
仪,4EEA,20202
仫,4EEB,20203
仮,4EEE,20206
仸,4EF8,20216
伃,4F03,20227
众,4F17,20247
会,4F1A,20250
伨,4F28,20264
伩,4F29,20265
伲,4F32,20274
伷,4F37,20279
伹,4F39,20281
佂,4F42,20290
佅,4F45,20293
佋,4F4B,20299
佲,4F72,20338
侊,4F8A,20362
侢,4FA2,20386
侨,4FA8,20392
侫,4FAB,20395
侰,4FB0,20400
侴,4FB4,20404
侽,4FBD,20413
俈,4FC8,20424
俌,4FCC,20428
俤,4FE4,20452
俥,4FE5,20453
俰,4FF0,20464
俲,4FF2,20466
俹,4FF9,20473
俽,4FFD,20477
倃,5003,20483
倈,5008,20488
倮,502E,20526
倴,5034,20532
倻,503B,20539
偖,5056,20566
偘,5058,20568
偦,5066,20582
偬,506C,20588
傁,5081,20609
傈,5088,20616
傐,5090,20624
傦,50A6,20646
傼,50BC,20668
働,50CD,20685
