han,name,hex,dec
函,323,51FD,20989
刀,324,5200,20992
刁,325,5201,20993
刃,326,5203,20995
切,327,5207,20999
分,328,5206,20998
刈,329,5208,21000
刊,330,520A,21002
列,331,5217,21015
刑,332,5211,21009
划,333,5212,21010
刎,334,520E,21006
判,335,5224,21028
別,336,5225,21029
刪,337,522A,21034
利,338,5229,21033
刨,339,5228,21032
刻,340,523B,21051
券,341,5238,21048
刷,342,5237,21047
刺,343,523A,21050
到,344,5230,21040
刮,345,522E,21038
制,346,5236,21046
剁,347,5241,21057
剃,348,5243,21059
前,349,524D,21069
剌,350,524C,21068
剋,351,524B,21067
則,352,5247,21063
削,353,524A,21066
剎,354,524E,21070
剖,355,5256,21078
剜,356,525C,21084
剔,357,5254,21076
剛,358,525B,21083
剝,359,525D,21085
剪,360,526A,21098
副,361,526F,21103
割,362,5272,21106
剴,363,5274,21108
創,364,5275,21109
剩,365,5269,21097
剷,366,5277,21111
剽,367,527D,21117
剿,368,527F,21119
劃,369,5283,21123
劈,370,5288,21128
劇,371,5287,21127
劉,372,5289,21129
劍,373,528D,21133
劑,374,5291,21137
力,375,529B,21147
加,376,52A0,21152
功,377,529F,21151
劣,378,52A3,21155
劫,379,52AB,21163
助,380,52A9,21161
努,381,52AA,21162
劬,382,52AC,21164
劾,383,52BE,21182
勇,384,52C7,21191
勃,385,52C3,21187
勉,386,52C9,21193
勁,387,52C1,21185
勒,388,52D2,21202
務,389,52D9,21209
勘,390,52D8,21208
動,391,52D5,21205
勞,392,52DE,21214
勛,393,52DB,21211
勝,394,52DD,21213
募,395,52DF,21215
勤,396,52E4,21220
勢,397,52E2,21218
勵,398,52F5,21237
勸,399,52F8,21240
勻,400,52FB,21243
勾,401,52FE,21246
勿,402,52FF,21247
包,403,5305,21253
匆,404,5306,21254
匈,405,5308,21256
匍,406,530D,21261
匐,407,5310,21264
匏,408,530F,21263
匕,409,5315,21269
化,410,5316,21270
北,411,5317,21271
匙,412,5319,21273
匝,413,531D,21277
匡,414,5321,21281
匠,415,5320,21280
匣,416,5323,21283
匪,417,532A,21290
匯,418,532F,21295
匱,419,5331,21297
匹,420,5339,21305
匾,421,533E,21310
匿,422,533F,21311
區,423,5340,21312
十,424,5341,21313
千,425,5343,21315
卅,426,5345,21317
午,427,5348,21320
升,428,5347,21319
半,429,534A,21322
卉,430,5349,21321
仟,431,4EDF,20191
卒,432,5352,21330
協,433,5354,21332
卓,434,5353,21331
卑,435,5351,21329
南,436,5357,21335
博,437,535A,21338
卜,438,535C,21340
卞,439,535E,21342
卡,440,5361,21345
占,441,5360,21344
卦,442,5366,21350
卯,443,536F,21359
卮,444,536E,21358
印,445,5370,21360
危,446,5371,21361
即,447,5373,21363
卵,448,5375,21365
卷,449,5377,21367
卸,450,5378,21368
卹,451,5379,21369
卻,452,537B,21371
卿,453,537F,21375
厄,454,5384,21380
厚,455,539A,21402
原,456,539F,21407
厥,457,53A5,21413
厭,458,53AD,21421
厲,459,53B2,21426
去,460,53BB,21435
參,461,53C3,21443
又,462,53C8,21448
叉,463,53C9,21449
友,464,53CB,21451
反,465,53CD,21453
及,466,53CA,21450
取,467,53D6,21462
叔,468,53D4,21460
受,469,53D7,21463
叛,470,53DB,21467
叟,471,53DF,21471
曼,472,66FC,26364
叢,473,53E2,21474
口,474,53E3,21475
可,475,53EF,21487
古,476,53E4,21476
右,477,53F3,21491
召,478,53EC,21484
叮,479,53EE,21486
叩,480,53E9,21481
叨,481,53E8,21480
叼,482,53FC,21500
司,483,53F8,21496
叵,484,53F5,21493
另,485,53E6,21478
叫,486,53EB,21483
只,487,53EA,21482
史,488,53F2,21490
叱,489,53F1,21489
台,490,53F0,21488
句,491,53E5,21477
叭,492,53ED,21485
吉,493,5409,21513
吏,494,540F,21519
吐,495,5410,21520
吁,496,5401,21505
吋,497,540B,21515
同,498,540C,21516
各,499,5404,21508
向,500,5411,21521
名,501,540D,21517
合,502,5408,21512
吃,503,5403,21507
后,504,540E,21518
吆,505,5406,21510
吒,506,5412,21522
吊,507,540A,21514
吝,508,541D,21533
吭,509,542D,21549
吞,510,541E,21534
吾,511,543E,21566
否,512,5426,21542
呎,513,544E,21582
吧,514,5427,21543
呃,515,5443,21571
君,516,541B,21531
吠,517,5420,21536
吼,518,543C,21564
呀,519,5440,21568
吱,520,5431,21553
呆,521,5446,21574
吳,522,5433,21555
吵,523,5435,21557
吶,524,5436,21558
呈,525,5448,21576
呂,526,5442,21570
吩,527,5429,21545
告,528,544A,21578
吹,529,5439,21561
吻,530,543B,21563
吸,531,5438,21560
吮,532,542E,21550
含,533,542B,21547
吟,534,541F,21535
味,535,5473,21619
呵,536,5475,21621
咖,537,5496,21654
呸,538,5478,21624
咕,539,5495,21653
呢,540,5462,21602
咀,541,5480,21632
呻,542,547B,21627
呷,543,5477,21623
咄,544,5484,21636
咒,545,5492,21650
咆,546,5486,21638
呼,547,547C,21628
咐,548,5490,21648
呱,549,5471,21617
呶,550,5476,21622
和,551,548C,21644
咚,552,549A,21658
周,553,5468,21608
咋,554,548B,21643
命,555,547D,21629
咎,556,548E,21646
咬,557,54AC,21676
哀,558,54C0,21696
咩,559,54A9,21673
咨,560,54A8,21672
咳,561,54B3,21683
咪,562,54AA,21674
哎,563,54CE,21710
哉,564,54C9,21705
咦,565,54A6,21670
哇,566,54C7,21703
哂,567,54C2,21698
哄,568,54C4,21700
咫,569,54AB,21675
咧,570,54A7,21671
咽,571,54BD,21693
品,572,54C1,21697
哈,573,54C8,21704
咯,574,54AF,21679
咱,575,54B1,21681
咻,576,54BB,21691
咸,577,54B8,21688
唐,578,5510,21776
唁,579,5501,21761
哼,580,54FC,21756
哥,581,54E5,21733
哲,582,54F2,21746
哺,583,54FA,21754
唔,584,5514,21780
哮,585,54EE,21742
哪,586,54EA,21738
唧,587,5527,21799
哩,588,54E9,21737
哭,589,54ED,21741
員,590,54E1,21729
哨,591,54E8,21736
唆,592,5506,21766
唉,593,5509,21769
哦,594,54E6,21734
唷,595,5537,21815
商,596,5546,21830
啖,597,5556,21846
唳,598,5533,21811
啪,599,556A,21866
啦,600,5566,21862
啄,601,5544,21828
啞,602,555E,21854
啊,603,554A,21834
啜,604,555C,21852
啃,605,5543,21827
唱,606,5531,21809
問,607,554F,21839
唬,608,552C,21804
啡,609,5561,21857
啕,610,5555,21845
唯,611,552F,21807
啤,612,5564,21860
唸,613,5538,21816
售,614,552E,21806
啣,615,5563,21859
啁,616,5541,21825
啥,617,5565,21861
啻,618,557B,21883
喀,619,5580,21888
喧,620,55A7,21927
啼,621,557C,21884
喜,622,559C,21916
喪,623,55AA,21930
喔,624,5594,21908
喇,625,5587,21895
喋,626,558B,21899
喃,627,5583,21891
喳,628,55B3,21939
喱,629,55B1,21937
喝,630,559D,21917
喘,631,5598,21912
喂,632,5582,21890
單,633,55AE,21934
喟,634,559F,21919
喊,635,558A,21898
唾,636,553E,21822
喲,637,55B2,21938
喚,638,559A,21914
喻,639,55BB,21947
喬,640,55AC,21932
啾,641,557E,21886
喉,642,5589,21897
嗟,643,55DF,21983
嗨,644,55E8,21992
嗓,645,55D3,21971
嗦,646,55E6,21990
嗎,647,55CE,21966
嗜,648,55DC,21980
嗇,649,55C7,21959
嗑,650,55D1,21969
嗣,651,55E3,21987
嗤,652,55E4,21988
嗯,653,55EF,21999
嗚,654,55DA,21978
嗡,655,55E1,21985
嗅,656,55C5,21957
嗆,657,55C6,21958
嗥,658,55E5,21989
嗾,659,55FE,22014
嘀,660,5600,22016
嘛,661,561B,22043
嗽,662,55FD,22013
嘔,663,5614,22036
嘉,664,5609,22025
嗷,665,55F7,22007
嘖,666,5616,22038
嘟,667,561F,22047
嘈,668,5608,22024
嘗,669,5617,22039
嘍,670,560D,22029
嘮,671,562E,22062
嘻,672,563B,22075
嘹,673,5639,22073
嘲,674,5632,22066
嘩,675,5629,22057
噎,676,564E,22094
噴,677,5674,22132
嘶,678,5636,22070
嘿,679,563F,22079
嘰,680,5630,22064
噓,681,5653,22099
噗,682,5657,22103
嘴,683,5634,22068
噫,684,566B,22123
噩,685,5669,22121
噤,686,5664,22116
噸,687,5678,22136
噹,688,5679,22137
噪,689,566A,22122
器,690,5668,22120
噥,691,5665,22117
噱,692,5671,22129
噙,693,5659,22105
噯,694,566F,22127
噬,695,566C,22124
噢,696,5662,22114
嘯,697,562F,22063
嚎,698,568E,22158
嚀,699,5680,22144
嚅,700,5685,22149
嚇,701,5687,22151
嚏,702,568F,22159
嚕,703,5695,22165
嚮,704,56AE,22190
嚨,705,56A8,22184
嚥,706,56A5,22181
嚷,707,56B7,22199
嚶,708,56B6,22198
嚴,709,56B4,22196
嚼,710,56BC,22204
囁,711,56C1,22209
囀,712,56C0,22208
囂,713,56C2,22210
囈,714,56C8,22216
囊,715,56CA,22218
囉,716,56C9,22217
囌,717,56CC,22220
囑,718,56D1,22225
四,719,56DB,22235
囚,720,56DA,22234
因,721,56E0,22240
回,722,56DE,22238
困,723,56F0,22256
囤,724,56E4,22244
囱,725,56F1,22257
固,726,56FA,22266
圃,727,5703,22275
圈,728,5708,22280
國,729,570B,22283
圍,730,570D,22285
園,731,5712,22290
圓,732,5713,22291
團,733,5718,22296
圖,734,5716,22294
土,735,571F,22303
地,736,5730,22320
在,737,5728,22312
圭,738,572D,22317
圬,739,572C,22316
圯,740,572F,22319
圳,741,5733,22323
坊,742,574A,22346
坑,743,5751,22353
址,744,5740,22336
坍,745,574D,22349
均,746,5747,22343
坎,747,574E,22350
圾,748,573E,22334
坐,749,5750,22352
坏,750,574F,22351
垃,751,5783,22403
坷,752,5777,22391
坪,753,576A,22378
坩,754,5769,22377
坡,755,5761,22369
坦,756,5766,22374
坤,757,5764,22372
坼,758,577C,22396
垂,759,5782,22402
型,760,578B,22411
垠,761,57A0,22432
垣,762,57A3,22435
垮,763,57AE,22446
垢,764,57A2,22434
城,765,57CE,22478
埔,766,57D4,22484
埋,767,57CB,22475
埃,768,57C3,22467
培,769,57F9,22521
域,770,57DF,22495
堅,771,5805,22533
基,772,57FA,22522
堵,773,5835,22581
執,774,57F7,22519
堂,775,5802,22530
堆,776,5806,22534
埠,777,57E0,22496
報,778,5831,22577
堯,779,582F,22575
堪,780,582A,22570
堰,781,5830,22576
場,782,5834,22580
堤,783,5824,22564
堡,784,5821,22561
塞,785,585E,22622
塑,786,5851,22609
塘,787,5858,22616
塗,788,5857,22615
塚,789,585A,22618
塔,790,5854,22612
填,791,586B,22635
塌,792,584C,22604
塊,793,584A,22602
塢,794,5862,22626
塵,795,5875,22645
塾,796,587E,22654
境,797,5883,22659
墓,798,5893,22675
墊,799,588A,22666
塹,800,5879,22649
墅,801,5885,22661
增,802,589E,22686
墀,803,5880,22656
墳,804,58B3,22707
墜,805,589C,22684
墮,806,58AE,22702
墟,807,589F,22687
壅,808,58C5,22725
壇,809,58C7,22727
壁,810,58C1,22721
墾,811,58BE,22718
壕,812,58D5,22741
壓,813,58D3,22739
壑,814,58D1,22737
壙,815,58D9,22745
壘,816,58D8,22744
壞,817,58DE,22750
壟,818,58DF,22751
壤,819,58E4,22756
壩,820,58E9,22761
士,821,58EB,22763
壬,822,58EC,22764
壯,823,58EF,22767
壹,824,58F9,22777
壺,825,58FA,22778
壽,826,58FD,22781
夏,827,590F,22799
夕,828,5915,22805
外,829,5916,22806
夙,830,5919,22809
多,831,591A,22810
夜,832,591C,22812
夠,833,5920,22816
夥,834,5925,22821
夢,835,5922,22818
夤,836,5924,22820
大,837,5927,22823
太,838,592A,22826
天,839,5929,22825
夫,840,592B,22827
夭,841,592D,22829
央,842,592E,22830
失,843,5931,22833
夷,844,5937,22839
夸,845,5938,22840
夾,846,593E,22846
奉,847,5949,22857
奇,848,5947,22855
奈,849,5948,22856
奔,850,5954,22868
奄,851,5944,22852
奕,852,5955,22869
契,853,5951,22865
奏,854,594F,22863
奎,855,594E,22862
奐,856,5950,22864
套,857,5957,22871
奘,858,5958,22872
奚,859,595A,22874
奢,860,5962,22882
奠,861,5960,22880
奧,862,5967,22887
奪,863,596A,22890
奩,864,5969,22889
奮,865,596E,22894
女,866,5973,22899
奴,867,5974,22900
奶,868,5976,22902
妄,869,5984,22916
奸,870,5978,22904
妃,871,5983,22915
好,872,597D,22909
她,873,5979,22905
如,874,5982,22914
妒,875,5992,22930
妨,876,59A8,22952
妞,877,599E,22942
妣,878,59A3,22947
妍,879,598D,22925
妤,880,59A4,22948
妓,881,5993,22931
妊,882,598A,22922
妝,883,599D,22941
妙,884,5999,22937
妖,885,5996,22934
妥,886,59A5,22949
妾,887,59BE,22974
妻,888,59BB,22971
妹,889,59B9,22969
妮,890,59AE,22958
姑,891,59D1,22993
姐,892,59D0,22992
姍,893,59CD,22989
妯,894,59AF,22959
姒,895,59D2,22994
委,896,59D4,22996
姆,897,59C6,22982
始,898,59CB,22987
姓,899,59D3,22995
姊,900,59CA,22986
妳,901,59B3,22963
姜,902,59DC,23004
姘,903,59D8,23000
姿,904,59FF,23039
姣,905,59E3,23011
姨,906,59E8,23016
娃,907,5A03,23043
姥,908,59E5,23013
姪,909,59EA,23018
姻,910,59FB,23035
姚,911,59DA,23002
姦,912,59E6,23014
威,913,5A01,23041
娑,914,5A11,23057
娘,915,5A18,23064
娣,916,5A23,23075
娜,917,5A1C,23068
娓,918,5A13,23059
姬,919,59EC,23020
娠,920,5A20,23072
娟,921,5A1F,23071
娛,922,5A1B,23067
娌,923,5A0C,23052
娩,924,5A29,23081
娥,925,5A25,23077
婉,926,5A49,23113
婆,927,5A46,23110
婊,928,5A4A,23114
婦,929,5A66,23142
婪,930,5A6A,23146
娶,931,5A36,23094
婀,932,5A40,23104
婁,933,5A41,23105
娼,934,5A3C,23100
婢,935,5A62,23138
婚,936,5A5A,23130
婷,937,5A77,23159
媚,938,5A9A,23194
婿,939,5A7F,23167
媒,940,5A92,23186
媼,941,5ABC,23228
媛,942,5A9B,23195
嫂,943,5AC2,23234
嫁,944,5AC1,23233
嫉,945,5AC9,23241
嫌,946,5ACC,23244
媾,947,5ABE,23230
媽,948,5ABD,23229
媳,949,5AB3,23219
媲,950,5AB2,23218
嫡,951,5AE1,23265
嫩,952,5AE9,23273
嫗,953,5AD7,23255
嫖,954,5AD6,23254
嫣,955,5AE3,23267
嫦,956,5AE6,23270
嫘,957,5AD8,23256
嬉,958,5B09,23305
嫻,959,5AFB,23291
嬋,960,5B0B,23307
嫵,961,5AF5,23285
嬌,962,5B0C,23308
嬴,963,5B34,23348
嬝,964,5B1D,23325
嬪,965,5B2A,23338
嬤,966,5B24,23332
嬰,967,5B30,23344
嬸,968,5B38,23352
孀,969,5B40,23360
子,970,5B50,23376
孑,971,5B51,23377
孓,972,5B53,23379
孔,973,5B54,23380
孕,974,5B55,23381
字,975,5B57,23383
存,976,5B58,23384
孝,977,5B5D,23389
孜,978,5B5C,23388
孚,979,5B5A,23386
孟,980,5B5F,23391
孤,981,5B64,23396
季,982,5B63,23395
孩,983,5B69,23401
孫,984,5B6B,23403
孰,985,5B70,23408
孳,986,5B73,23411
孱,987,5B71,23409
孵,988,5B75,23413
學,989,5B78,23416
孺,990,5B7A,23418
孽,991,5B7D,23421
孿,992,5B7F,23423
它,993,5B83,23427
宂,994,5B82,23426
宇,995,5B87,23431
守,996,5B88,23432
宅,997,5B85,23429
安,998,5B89,23433
完,999,5B8C,23436
宋,1000,5B8B,23435
宏,1001,5B8F,23439
宗,1002,5B97,23447
定,1003,5B9A,23450
官,1004,5B98,23448
宜,1005,5B9C,23452
宙,1006,5B99,23449
宛,1007,5B9B,23451
宣,1008,5BA3,23459
宦,1009,5BA6,23462
室,1010,5BA4,23460
宥,1011,5BA5,23461
客,1012,5BA2,23458
宰,1013,5BB0,23472
家,1014,5BB6,23478
宴,1015,5BB4,23476
宮,1016,5BAE,23470
宵,1017,5BB5,23477
害,1018,5BB3,23475
容,1019,5BB9,23481
密,1020,5BC6,23494
寇,1021,5BC7,23495
寅,1022,5BC5,23493
寄,1023,5BC4,23492
寂,1024,5BC2,23490
宿,1025,5BBF,23487
寒,1026,5BD2,23506
富,1027,5BCC,23500
寓,1028,5BD3,23507
寐,1029,5BD0,23504
寞,1030,5BDE,23518
寧,1031,5BE7,23527
寡,1032,5BE1,23521
寥,1033,5BE5,23525
寨,1034,5BE8,23528
實,1035,5BE6,23526
寢,1036,5BE2,23522
寤,1037,5BE4,23524
察,1038,5BDF,23519
寮,1039,5BEE,23534
寬,1040,5BEC,23532
審,1041,5BE9,23529
寫,1042,5BEB,23531
寵,1043,5BF5,23541
寶,1044,5BF6,23542
寸,1045,5BF8,23544
寺,1046,5BFA,23546
封,1047,5C01,23553
射,1048,5C04,23556
尉,1049,5C09,23561
專,1050,5C08,23560
將,1051,5C07,23559
尊,1052,5C0A,23562
尋,1053,5C0B,23563
對,1054,5C0D,23565
導,1055,5C0E,23566
小,1056,5C0F,23567
少,1057,5C11,23569
尖,1058,5C16,23574
尚,1059,5C1A,23578
尤,1060,5C24,23588
尬,1061,5C2C,23596
就,1062,5C31,23601
尷,1063,5C37,23607
尸,1064,5C38,23608
尺,1065,5C3A,23610
尼,1066,5C3C,23612
局,1067,5C40,23616
屁,1068,5C41,23617
尿,1069,5C3F,23615
尾,1070,5C3E,23614
居,1071,5C45,23621
屆,1072,5C46,23622
屈,1073,5C48,23624
屎,1074,5C4E,23630
屏,1075,5C4F,23631
屍,1076,5C4D,23629
屋,1077,5C4B,23627
展,1078,5C55,23637
屑,1079,5C51,23633
屐,1080,5C50,23632
屠,1081,5C60,23648
屜,1082,5C5C,23644
屢,1083,5C62,23650
層,1084,5C64,23652
履,1085,5C65,23653
屬,1086,5C6C,23660
屯,1087,5C6F,23663
山,1088,5C71,23665
屹,1089,5C79,23673
岐,1090,5C90,23696
岑,1091,5C91,23697
岔,1092,5C94,23700
岌,1093,5C8C,23692
岷,1094,5CB7,23735
岸,1095,5CB8,23736
岩,1096,5CA9,23721
岡,1097,5CA1,23713
岫,1098,5CAB,23723
岱,1099,5CB1,23729
岳,1100,5CB3,23731
峙,1101,5CD9,23769
峽,1102,5CFD,23805
峭,1103,5CED,23789
峻,1104,5CFB,23803
峪,1105,5CEA,23786
峨,1106,5CE8,23784
峯,1107,5CEF,23791
島,1108,5CF6,23798
崇,1109,5D07,23815
崆,1110,5D06,23814
崎,1111,5D0E,23822
崛,1112,5D1B,23835
崖,1113,5D16,23830
崑,1114,5D11,23825
崩,1115,5D29,23849
崢,1116,5D22,23842
崔,1117,5D14,23828
崙,1118,5D19,23833
嵌,1119,5D4C,23884
嵐,1120,5D50,23888
嵩,1121,5D69,23913
嶄,1122,5D84,23940
嶇,1123,5D87,23943
嶝,1124,5D9D,23965
嶼,1125,5DBC,23996
嶺,1126,5DBA,23994
嶽,1127,5DBD,23997
巍,1128,5DCD,24013
巒,1129,5DD2,24018
巔,1130,5DD4,24020
巖,1131,5DD6,24022
川,1132,5DDD,24029
州,1133,5DDE,24030
巢,1134,5DE2,24034
工,1135,5DE5,24037
巨,1136,5DE8,24040
巧,1137,5DE7,24039
左,1138,5DE6,24038
巫,1139,5DEB,24043
差,1140,5DEE,24046
己,1141,5DF1,24049
已,1142,5DF2,24050
巳,1143,5DF3,24051
巴,1144,5DF4,24052
巷,1145,5DF7,24055
巽,1146,5DFD,24061
巾,1147,5DFE,24062
市,1148,5E02,24066
布,1149,5E03,24067
帆,1150,5E06,24070
希,1151,5E0C,24076
帘,1152,5E18,24088
帚,1153,5E1A,24090
帖,1154,5E16,24086
帛,1155,5E1B,24091
帑,1156,5E11,24081
帕,1157,5E15,24085
帝,1158,5E1D,24093
帥,1159,5E25,24101
席,1160,5E2D,24109
師,1161,5E2B,24107
帶,1162,5E36,24118
帳,1163,5E33,24115
常,1164,5E38,24120
帷,1165,5E37,24119
幅,1166,5E45,24133
帽,1167,5E3D,24125
幀,1168,5E40,24128
幌,1169,5E4C,24140
幛,1170,5E5B,24155
幣,1171,5E63,24163
幕,1172,5E55,24149
幗,1173,5E57,24151
幔,1174,5E54,24148
幢,1175,5E62,24162
幟,1176,5E5F,24159
幫,1177,5E6B,24171
干,1178,5E72,24178
平,1179,5E73,24179
并,1180,5E76,24182
年,1181,5E74,24180
幸,1182,5E78,24184
幹,1183,5E79,24185
幺,1184,5E7A,24186
