han,hex,dec
𡼏,21F0F,139023
𢆡,221A1,139681
𢔛,2251B,140571
𢝵,22775,141173
𢞵,227B5,141237
𢫕,22AD5,142037
𢴈,22D08,142600
𢺳,22EB3,143027
𣜿,2373F,145215
𤃒,240D2,147666
𤍤,24364,148324
𤶀,24D80,150912
𥁕,25055,151637
𥑮,2546E,152686
𥟇,257C7,153543
𦤎,2690E,157966
𦸅,26E05,159237
𧍱,27371,160625
𧒆,27486,160902
𧦠,279A0,162208
𧬪,27B2A,162602
𧿹,27FF9,163833
𨋍,282CD,164557
𨍽,2837D,164733
𨎊,2838A,164746
𨧀,289C0,166336
𨨏,28A0F,166415
𨭆,28B46,166726
𨭎,28B4E,166734
𨸹,28E39,167481
𩷓,29DD3,171475
𩺬,29EAC,171692
𩼰,29F30,171824
𩽈,29F48,171848
𩽰,29F70,171888
𪂺,2A0BA,172218
𪇡,2A1E1,172513
𪙊,2A64A,173642
𫒢,2B4A2,177314
𫬷,2BB37,178999
𭉝,2D25D,184925
𰇛,301DB,197083
