han,name,hex,dec,note
蛆,3599,86C6,34502,
蚱,3600,86B1,34481,
蚯,3601,86AF,34479,
蛟,3602,86DF,34527,
蛙,3603,86D9,34521,
蛭,3604,86ED,34541,
蛔,3605,86D4,34516,
蛛,3606,86DB,34523,
蛤,3607,86E4,34532,
蜕,3608,8715,34581,⿰虫⿱丷兄
蛻,3608V,86FB,34555,⿰虫⿱八兄
蛹,3609,86F9,34553,
蜇,3610,8707,34567,
蜃,3611,8703,34563,
蜈,3612,8708,34568,
蜀,3613,8700,34560,
蛾,3614,86FE,34558,
蜂,3615,8702,34562,
蜓,3616,8713,34579,
蜚,3617,871A,34586,
蜿,3618,873F,34623,
蜜,3619,871C,34588,
蜻,3620,873B,34619,
蜢,3621,8722,34594,
蜥,3622,8725,34597,
蜴,3623,8734,34612,
蜘,3624,8718,34584,
蝕,3625,8755,34645,
螂,3626,8782,34690,
蝙,3627,8759,34649,
蝴,3628,8774,34676,
蝶,3629,8776,34678,
蝠,3630,8760,34656,
蝦,3631,8766,34662,
蝨,3632,8768,34664,
蝸,3633,8778,34680,
蝗,3634,8757,34647,
蝌,3635,874C,34636,
螃,3636,8783,34691,
螟,3637,879F,34719,
螢,3638,87A2,34722,
螞,3639,879E,34718,
融,3640,878D,34701,
蟀,3641,87C0,34752,
蟑,3642,87D1,34769,
螫,3643,87AB,34731,
蟒,3644,87D2,34770,
蟆,3645,87C6,34758,
螳,3646,87B3,34739,
螻,3647,87BB,34747,
螺,3648,87BA,34746,
蟈,3649,87C8,34760,
蟋,3650,87CB,34763,
蟯,3651,87EF,34799,
蟬,3652,87EC,34796,
蟲,3653,87F2,34802,
蟻,3654,87FB,34811,
蠅,3655,8805,34821,
蠍,3656,880D,34829,
蟹,3657,87F9,34809,
蠔,3658,8814,34836,
蠕,3659,8815,34837,
蠣,3660,8823,34851,
蠢,3661,8822,34850,
蠡,3662,8821,34849,
蠟,3663,881F,34847,
蠱,3664,8831,34865,
蠶,3665,8836,34870,
蠹,3666,8839,34873,
蠻,3667,883B,34875,
血,3668,8840,34880,
行,3669,884C,34892,
衍,3670,884D,34893,
術,3671,8853,34899,
街,3672,8857,34903,
衙,3673,8859,34905,
衝,3674,885D,34909,
衞,3675,885E,34910,
衛,3675V,885B,34907,
衡,3676,8861,34913,
衢,3677,8862,34914,
衣,3678,8863,34915,
初,3679,521D,21021,
表,3680,8868,34920,
衫,3681,886B,34923,
袂,3682,8882,34946,
衰,3683,8870,34928,
衷,3684,8877,34935,
袁,3685,8881,34945,
袒,3686,8892,34962,
袖,3687,8896,34966,
被,3688,88AB,34987,
袍,3689,888D,34957,
袈,3690,8888,34952,
袞,3691,889E,34974,
袋,3692,888B,34955,
袱,3693,88B1,34993,
裁,3694,88C1,35009,
裂,3695,88C2,35010,
裙,3696,88D9,35033,
補,3697,88DC,35036,
裕,3698,88D5,35029,
裟,3699,88DF,35039,
裘,3700,88D8,35032,
裔,3701,88D4,35028,
裝,3702,88DD,35037,
裏,3703,88CF,35023,⿱𫟯𧘇
裡,3703V,88E1,35041,⿰衤里
裊,3704,88CA,35018,
褂,3705,8902,35074,
褚,3706,891A,35098,
裸,3707,88F8,35064,
裨,3708,88E8,35048,
裳,3709,88F3,35059,
裴,3710,88F4,35060,
裹,3711,88F9,35065,
製,3712,88FD,35069,
褐,3713,8910,35088,
複,3714,8907,35079,
褓,3715,8913,35091,
褲,3716,8932,35122,
褪,3717,892A,35114,
褫,3718,892B,35115,
褥,3719,8925,35109,
