han,name,hex,dec
褊,507,890A,35082
鴘,508,9D18,40216
藊,509,85CA,34250
𧸘,510,27E18,163352
卞,511,535E,21342
弁,512,5F01,24321
抃,513,6283,25219
釆,514,91C6,37318
汳,515,6C73,27763
汴,516,6C74,27764
忭,517,5FED,24557
𨚕,518,28695,165525
拚,519,62DA,25306
昪,520,662A,26154
便,521,4FBF,20415
䛒,522,46D2,18130
徧,523,5FA7,24487
遍,524,904D,36941
閞,525,959E,38302
䪻,526,4ABB,19131
艑,527,8251,33361
辨,528,8FA8,36776
辮,529,8FAE,36782
辯,530,8FAF,36783
變,531,8B8A,35722
髟,532,9ADF,39647
彪,533,5F6A,24426
淲,534,6DF2,28146
猋,535,730B,29451
蔈,536,8508,34056
幖,537,5E56,24150
颮,538,98AE,39086
滮,539,6EEE,28398
標,540,6A19,27161
熛,541,719B,29083
䅺,542,417A,16762
瘭,543,762D,30253
儦,544,5126,20774
瀌,545,700C,28684
鏢,546,93E2,37858
穮,547,7A6E,31342
驃,548,9A43,39491
飆,549,98C6,39110
鑣,550,9463,37987
驫,551,9A6B,39531
表,552,8868,34920
婊,553,5A4A,23114
裱,554,88F1,35057
㟽,555,37FD,14333
錶,556,9336,37686
褾,557,893E,35134
俵,558,4FF5,20469
摽,559,647D,25725
鰾,560,9C3E,39998
𧌽,561,2733D,160573
憋,562,618B,24971
蟞,563,87DE,34782
䳤,564,4CE4,19684
鷩,565,9DE9,40425
鱉,566,9C49,40009
鼈,567,9F08,40712
虌,568,864C,34380
别,569,522B,21035
咇,570,5487,21639
莂,571,8382,33666
蛂,572,86C2,34498
䟤,573,47E4,18404
徶,574,5FB6,24502
襒,575,8952,35154
𧝬,576,2776C,161644
蹩,577,8E69,36457
癟,578,765F,30303
彆,579,5F46,24390
䌘,580,4318,17176
汃,581,6C43,27715
份,582,4EFD,20221
邠,583,90A0,37024
玢,584,73A2,29602
彬,585,5F6C,24428
斌,586,658C,25996
㻞,587,3EDE,16094
豩,588,8C69,35945
賓,589,8CD3,36051
豳,590,8C73,35955
獱,591,7371,29553
濱,592,6FF1,28657
璸,593,74B8,29880
檳,594,6AB3,27315
𣰨,595,23C28,146472
瀕,596,7015,28693
繽,597,7E7D,32381
鑌,598,944C,37964
顮,599,986E,39022
儐,600,5110,20752
擯,601,64EF,25839
殯,602,6BAF,27567
臏,603,81CF,33231
髕,604,9AD5,39637
鬢,605,9B22,39714
冰,606,51B0,20912
兵,607,5175,20853
栟,608,681F,26655
掤,609,63A4,25508
丙,610,4E19,19993
邴,611,90B4,37044
秉,612,79C9,31177
怲,613,6032,24626
柄,614,67C4,26564
昞,615,661E,26142
炳,616,70B3,28851
𠱛,617,20C5B,134235
窉,618,7A89,31369
蛃,619,86C3,34499
琕,620,7415,29717
棅,621,68C5,26821
鈵,622,9235,37429
稟,623,7A1F,31263
鉼,624,927C,37500
餅,625,9905,39173
鞞,626,979E,38814
并,627,5E76,24182
併,628,4F75,20341
並,629,4E26,20006
庰,630,5EB0,24240
病,631,75C5,30149
偋,632,504B,20555
摒,633,6452,25682
寎,634,5BCE,23502
䗒,635,45D2,17874
蔔,636,8514,34068
波,637,6CE2,27874
玻,638,73BB,29627
柭,639,67ED,26605
砵,640,7835,30773
趵,641,8DB5,36277
袚,642,889A,34970
剝,643,525D,21085
菠,644,83E0,33760
缽,645,7F3D,32573
紴,646,7D34,32052
鉢,647,9262,37474
碆,648,7886,30854
僠,649,50E0,20704
播,650,64AD,25773
撥,651,64A5,25765
嶓,652,5D93,23955
餑,653,9911,39185
鮁,654,9B81,39809
磻,655,78FB,30971
嚗,656,5697,22167
蹳,657,8E73,36467
鱍,658,9C4D,40013
彴,659,5F74,24436
伯,660,4F2F,20271
帛,661,5E1B,24091
瓝,662,74DD,29917
泊,663,6CCA,27850
勃,664,52C3,21187
侼,665,4FBC,20412
胉,666,80C9,32969
挬,667,632C,25388
亳,668,4EB3,20147
浡,669,6D61,28001
桲,670,6872,26738
㪍,671,3A8D,14989
㹀,672,3E40,15936
舶,673,8236,33334
㼎,674,3F0E,16142
脖,675,8116,33046
㶿,676,3DBF,15807
袹,677,88B9,35001
艴,678,8274,33396
博,679,535A,21338
葧,680,8467,33895
𠷺,681,20DFA,134650
䬪,682,4B2A,19242
渤,683,6E24,28196
搏,684,640F,25615
㗘,685,35D8,13784
鈸,686,9238,37432
鉑,687,9251,37457
𤊹,688,242B9,148153
駁,689,99C1,39361
僰,690,50F0,20720
𨁝,691,2805D,163933
馛,692,999B,39323
箔,693,7B94,31636
煿,694,717F,29055
踣,695,8E23,36387
䙏,696,464F,17999
駮,697,99EE,39406
薄,698,8584,34180
䗚,699,45DA,17882
馞,700,999E,39326
䳁,701,4CC1,19649
鮊,702,9B8A,39818
𩣡,703,298E1,170209
襏,704,894F,35151
㩧,705,3A67,14951
鵓,706,9D53,40275
簙,707,7C19,31769
鎛,708,939B,37787
