han,hex,dec
抬,62AC,25260
拇,62C7,25287
拗,62D7,25303
其,5176,20854
取,53D6,21462
茉,8309,33545
苦,82E6,33510
昔,6614,26132
苛,82DB,33499
若,82E5,33509
茂,8302,33538
苹,82F9,33529
苗,82D7,33495
英,82F1,33521
苟,82DF,33503
苑,82D1,33489
苞,82DE,33502
范,8303,33539
直,76F4,30452
茁,8301,33537
茄,8304,33540
茎,830E,33550
苔,82D4,33492
茅,8305,33541
枉,6789,26505
林,6797,26519
枝,679D,26525
杯,676F,26479
枢,67A2,26530
柜,67DC,26588
枚,679A,26522
析,6790,26512
板,677F,26495
松,677E,26494
枪,67AA,26538
枫,67AB,26539
构,6784,26500
杭,676D,26477
杰,6770,26480
述,8FF0,36848
枕,6795,26517
丧,4E27,20007
或,6216,25110
画,753B,30011
卧,5367,21351
事,4E8B,20107
刺,523A,21050
枣,67A3,26531
雨,96E8,38632
卖,5356,21334
郁,90C1,37057
矾,77FE,30718
矿,77FF,30719
码,7801,30721
厕,5395,21397
奈,5948,22856
奔,5954,22868
奇,5947,22855
奋,594B,22859
态,6001,24577
欧,6B27,27431
殴,6BB4,27572
垄,5784,22404
妻,59BB,22971
轰,8F70,36720
顷,9877,39031
转,8F6C,36716
斩,65A9,26025
轮,8F6E,36718
软,8F6F,36719
到,5230,21040
非,975E,38750
叔,53D4,21460
歧,6B67,27495
肯,80AF,32943
齿,9F7F,40831
些,4E9B,20123
卓,5353,21331
虎,864E,34382
虏,864F,34383
肾,80BE,32958
贤,8D24,36132
尚,5C1A,23578
旺,65FA,26106
具,5177,20855
味,5473,21619
果,679C,26524
昆,6606,26118
国,56FD,22269
哎,54CE,21710
咕,5495,21653
昌,660C,26124
呵,5475,21621
畅,7545,30021
明,660E,26126
易,6613,26131
咙,5499,21657
昂,6602,26114
迪,8FEA,36842
典,5178,20856
固,56FA,22266
忠,5FE0,24544
呻,547B,21627
咒,5492,21650
咋,548B,21643
咐,5490,21648
呼,547C,21628
鸣,9E23,40483
咏,548F,21647
呢,5462,21602
咄,5484,21636
咖,5496,21654
岸,5CB8,23736
岩,5CA9,23721
帖,5E16,24086
罗,7F57,32599
帜,5E1C,24092
帕,5E15,24085
岭,5CAD,23725
凯,51EF,20975
败,8D25,36133
账,8D26,36134
贩,8D29,36137
贬,8D2C,36140
购,8D2D,36141
贮,8D2E,36142
图,56FE,22270
钓,9493,38035
制,5236,21046
知,77E5,30693
迭,8FED,36845
氛,6C1B,27675
垂,5782,22402
牧,7267,29287
物,7269,29289
乖,4E56,20054
刮,522E,21038
秆,79C6,31174
和,548C,21644
季,5B63,23395
委,59D4,22996
秉,79C9,31177
佳,4F73,20339
侍,4F8D,20365
岳,5CB3,23731
供,4F9B,20379
使,4F7F,20351
例,4F8B,20363
侠,4FA0,20384
侥,4FA5,20389
版,7248,29256
侄,4F84,20356
侦,4FA6,20390
侣,4FA3,20387
侧,4FA7,20391
凭,51ED,20973
侨,4FA8,20392
佩,4F69,20329
货,8D27,36135
侈,4F88,20360
依,4F9D,20381
卑,5351,21329
的,7684,30340
迫,8FEB,36843
质,8D28,36136
欣,6B23,27427
征,5F81,24449
往,5F80,24448
爬,722C,29228
彼,5F7C,24444
径,5F84,24452
所,6240,25152
舍,820D,33293
金,91D1,37329
刹,5239,21049
命,547D,21629
肴,80B4,32948
斧,65A7,26023
爸,7238,29240
采,91C7,37319
觅,89C5,35269
受,53D7,21463
乳,4E73,20083
贪,8D2A,36138
念,5FF5,24565
贫,8D2B,36139
忿,5FFF,24575
肤,80A4,32932
肺,80BA,32954
肢,80A2,32930
肿,80BF,32959
胀,80C0,32960
朋,670B,26379
股,80A1,32929
肮,80AE,32942
肪,80AA,32938
肥,80A5,32933
服,670D,26381
胁,80C1,32961
周,5468,21608
昏,660F,26127
鱼,9C7C,40060
兔,5154,20820
狐,72D0,29392
忽,5FFD,24573
狗,72D7,29399
狞,72DE,29406
备,5907,22791
饰,9970,39280
饱,9971,39281
饲,9972,39282
变,53D8,21464
京,4EAC,20140
享,4EAB,20139
庞,5E9E,24222
店,5E97,24215
夜,591C,22812
庙,5E99,24217
府,5E9C,24220
底,5E95,24213
疟,759F,30111
疙,7599,30105
疚,759A,30106
剂,5242,21058
卒,5352,21330
郊,90CA,37066
庚,5E9A,24218
废,5E9F,24223
净,51C0,20928
盲,76F2,30450
放,653E,25918
刻,523B,21051
育,80B2,32946
氓,6C13,27667
闸,95F8,38392
闹,95F9,38393
郑,90D1,37073
券,5238,21048
卷,5377,21367
单,5355,21333
炬,70AC,28844
炒,7092,28818
炊,708A,28810
炕,7095,28821
炎,708E,28814
炉,7089,28809
沫,6CAB,27819
浅,6D45,27973
法,6CD5,27861
泄,6CC4,27844
沽,6CBD,27837
河,6CB3,27827
沾,6CBE,27838
泪,6CEA,27882
沮,6CAE,27822
油,6CB9,27833
泊,6CCA,27850
沿,6CBF,27839
泡,6CE1,27873
注,6CE8,27880
泣,6CE3,27875
泞,6CDE,27870
泻,6CFB,27899
泌,6CCC,27852
泳,6CF3,27891
泥,6CE5,27877
沸,6CB8,27832
沼,6CBC,27836
波,6CE2,27874
泼,6CFC,27900
泽,6CFD,27901
治,6CBB,27835
怔,6014,24596
怯,602F,24623
怖,6016,24598
性,6027,24615
怕,6015,24597
怜,601C,24604
怪,602A,24618
怡,6021,24609
学,5B66,23398
宝,5B9D,23453
宗,5B97,23447
定,5B9A,23450
宠,5BA0,23456
宜,5B9C,23452
审,5BA1,23457
宙,5B99,23449
官,5B98,23448
空,7A7A,31354
帘,5E18,24088
宛,5B9B,23451
实,5B9E,23454
试,8BD5,35797
郎,90CE,37070
诗,8BD7,35799
肩,80A9,32937
房,623F,25151
诚,8BDA,35802
衬,886C,34924
衫,886B,34923
视,89C6,35270
祈,7948,31048
话,8BDD,35805
诞,8BDE,35806
诡,8BE1,35809
询,8BE2,35810
该,8BE5,35813
详,8BE6,35814
建,5EFA,24314
肃,8083,32899
录,5F55,24405
隶,96B6,38582
帚,5E1A,24090
屉,5C49,23625
居,5C45,23621
届,5C4A,23626
刷,5237,21047
屈,5C48,23624
弧,5F27,24359
弥,5F25,24357
弦,5F26,24358
承,627F,25215
孟,5B5F,23391
陋,964B,38475
陌,964C,38476
孤,5B64,23396
陕,9655,38485
降,964D,38477
函,51FD,20989
限,9650,38480
妹,59B9,22969
姑,59D1,22993
姐,59D0,22992
姓,59D3,22995
妮,59AE,22958
始,59CB,22987
姆,59C6,22982
迢,8FE2,36834
驾,9A7E,39550
叁,53C1,21441
参,53C2,21442
艰,8270,33392
线,7EBF,32447
练,7EC3,32451
组,7EC4,32452
绅,7EC5,32453
细,7EC6,32454
驶,9A76,39542
织,7EC7,32455
驹,9A79,39545
终,7EC8,32456
驻,9A7B,39547
绊,7ECA,32458
驼,9A7C,39548
绍,7ECD,32461
绎,7ECE,32462
经,7ECF,32463
贯,8D2F,36143
契,5951,22865
贰,8D30,36144
奏,594F,22863
春,6625,26149
帮,5E2E,24110
玷,73B7,29623
珍,73CD,29645
玲,73B2,29618
珊,73CA,29642
玻,73BB,29627
毒,6BD2,27602
型,578B,22411
拭,62ED,25325
挂,6302,25346
封,5C01,23553
持,6301,25345
拷,62F7,25335
拱,62F1,25329
项,9879,39033
垮,57AE,22446
挎,630E,25358
城,57CE,22478
挟,631F,25375
挠,6320,25376
政,653F,25919
赴,8D74,36212
赵,8D75,36213
挡,6321,25377
拽,62FD,25341
哉,54C9,21705
挺,633A,25402
括,62EC,25324
垢,57A2,22434
拴,62F4,25332
拾,62FE,25342
挑,6311,25361
垛,579B,22427
指,6307,25351
垫,57AB,22443
挣,6323,25379
挤,6324,25380
拼,62FC,25340
挖,6316,25366
按,6309,25353
挥,6325,25381
挪,632A,25386
拯,62EF,25327
某,67D0,26576
甚,751A,29978
荆,8346,33606
茸,8338,33592
革,9769,38761
茬,832C,33580
荐,8350,33616
巷,5DF7,24055
带,5E26,24102
草,8349,33609
茧,8327,33575
茵,8335,33589
茶,8336,33590
荒,8352,33618
茫,832B,33579
荡,8361,33633
荣,8363,33635
荤,8364,33636
荧,8367,33639
故,6545,25925
胡,80E1,32993
荫,836B,33643
荔,8354,33620
南,5357,21335
药,836F,33647
标,6807,26631
栈,6808,26632
柑,67D1,26577
枯,67AF,26543
柄,67C4,26564
栋,680B,26635
相,76F8,30456
查,67E5,26597
柏,67CF,26575
栅,6805,26629
柳,67F3,26611
柱,67F1,26609
柿,67FF,26623
栏,680F,26639
柠,67E0,26592
树,6811,26641
勃,52C3,21187
要,8981,35201
柬,67EC,26604
咸,54B8,21688
威,5A01,23041
歪,6B6A,27498
研,7814,30740
砖,7816,30742
厘,5398,21400
厚,539A,21402
砌,780C,30732
