han,hex,dec
冇,5187,20871
冈,5188,20872
冉,5189,20873
册,518C,20876
再,518D,20877
冒,5192,20882
冕,5195,20885
冖,5196,20886
冗,5197,20887
写,5199,20889
军,519B,20891
农,519C,20892
冠,51A0,20896
冢,51A2,20898
冤,51A4,20900
冥,51A5,20901
冫,51AB,20907
冬,51AC,20908
冯,51AF,20911
冰,51B0,20912
冱,51B1,20913
冲,51B2,20914
决,51B3,20915
冴,51B4,20916
况,51B5,20917
冶,51B6,20918
冷,51B7,20919
冻,51BB,20923
冼,51BC,20924
冽,51BD,20925
净,51C0,20928
凄,51C4,20932
准,51C6,20934
凇,51C7,20935
凉,51C9,20937
凋,51CB,20939
凌,51CC,20940
凍,51CD,20941
减,51CF,20943
凑,51D1,20945
凛,51DB,20955
凝,51DD,20957
几,51E0,20960
凡,51E1,20961
凤,51E4,20964
凫,51EB,20971
凭,51ED,20973
凯,51EF,20975
凰,51F0,20976
凱,51F1,20977
凳,51F3,20979
凵,51F5,20981
凶,51F6,20982
凸,51F8,20984
凹,51F9,20985
出,51FA,20986
击,51FB,20987
凼,51FC,20988
函,51FD,20989
凿,51FF,20991
刀,5200,20992
刁,5201,20993
刂,5202,20994
刃,5203,20995
分,5206,20998
切,5207,20999
刈,5208,21000
刊,520A,21002
刍,520D,21005
刎,520E,21006
刑,5211,21009
划,5212,21010
刖,5216,21014
列,5217,21015
刘,5218,21016
则,5219,21017
刚,521A,21018
创,521B,21019
初,521D,21021
删,5220,21024
判,5224,21028
刨,5228,21032
利,5229,21033
别,522B,21035
刭,522D,21037
刮,522E,21038
到,5230,21040
刳,5233,21043
制,5236,21046
刷,5237,21047
券,5238,21048
刹,5239,21049
刺,523A,21050
刻,523B,21051
刽,523D,21053
刿,523F,21055
剀,5240,21056
剁,5241,21057
剂,5242,21058
剃,5243,21059
剄,5244,21060
則,5247,21063
削,524A,21066
剌,524C,21068
前,524D,21069
剐,5250,21072
剑,5251,21073
剔,5254,21076
剖,5256,21078
剛,525B,21083
剜,525C,21084
剞,525E,21086
剡,5261,21089
剥,5265,21093
剧,5267,21095
剩,5269,21097
剪,526A,21098
剮,526E,21102
副,526F,21103
割,5272,21106
剴,5274,21108
創,5275,21109
剽,527D,21117
剿,527F,21119
劁,5281,21121
劂,5282,21122
劃,5283,21123
劇,5287,21127
劈,5288,21128
劉,5289,21129
劊,528A,21130
劌,528C,21132
劍,528D,21133
劐,5290,21136
劑,5291,21137
劓,5293,21139
力,529B,21147
劝,529D,21149
办,529E,21150
功,529F,21151
加,52A0,21152
务,52A1,21153
劢,52A2,21154
劣,52A3,21155
动,52A8,21160
助,52A9,21161
努,52AA,21162
劫,52AB,21163
劬,52AC,21164
劭,52AD,21165
励,52B1,21169
劲,52B2,21170
劳,52B3,21171
劵,52B5,21173
劾,52BE,21182
势,52BF,21183
勁,52C1,21185
勃,52C3,21187
勇,52C7,21191
勉,52C9,21193
勋,52CB,21195
勍,52CD,21197
勐,52D0,21200
勒,52D2,21202
動,52D5,21205
勖,52D6,21206
